price,area,flat_toilets,balcony,current_floors,total_floors,ceiling,dorm,mortgage,year,type_of_house,repair_status,distance_to_center
12000000.0,44.0,совмещенный,нет,2.0,5.0,2.8,нет,нет,1979,иной,частично,0.448
17500000.0,47.1,совмещенный,нет,3.0,6.0,2.8,нет,нет,2011,кирпичный,частично,2.061
27000000.0,64.3,совмещенный,нет,7.0,9.0,3.0,нет,нет,2015,кирпичный,полностью,0.967
12300000.0,52.0,раздельный,лоджия,1.0,9.0,2.7,нет,нет,1991,панельный,частично,3.298
68283000.0,151.74,раздельный,нет,3.0,9.0,3.2,нет,нет,2025,кирпичный,частично,0.753
45085500.0,100.19,раздельный,нет,3.0,9.0,3.2,нет,нет,2025,кирпичный,частично,0.753
18300000.0,53.0,раздельный,балкон и лоджия,8.0,10.0,2.7,нет,нет,1991,кирпичный,полностью,1.931
23500000.0,60.0,раздельный,нет,4.0,5.0,2.7,нет,нет,1989,панельный,полностью,1.095
21775500.0,48.39,раздельный,нет,3.0,9.0,3.2,нет,нет,2025,кирпичный,частично,0.753
14924250.0,44.55,раздельный,нет,3.0,10.0,2.75,нет,нет,2023,кирпичный,без мебели,1.294
50607000.0,112.46,раздельный,нет,3.0,9.0,3.2,нет,нет,2025,кирпичный,частично,0.753
14951050.0,44.63,раздельный,нет,3.0,9.0,2.8,нет,нет,2023,кирпичный,без мебели,1.294
11500000.0,46.0,раздельный,нет,1.0,5.0,2.7,нет,нет,1971,кирпичный,частично,0.793
19000000.0,39.7,раздельный,нет,2.0,5.0,2.7,нет,нет,2024,кирпичный,частично,1.675
15000000.0,66.0,раздельный,лоджия,1.0,5.0,2.7,нет,нет,1999,панельный,частично,1.568
39000000.0,122.9,2 с/у и более,нет,4.0,4.0,2.7,нет,нет,2004,кирпичный,полностью,0.2
14900000.0,68.2,совмещенный,нет,1.0,5.0,2.7,нет,нет,1999,панельный,без мебели,1.575
24000000.0,51.5,раздельный,балкон,4.0,5.0,2.7,нет,нет,1985,кирпичный,полностью,1.154
15500000.0,60.0,раздельный,нет,4.0,5.0,2.5,нет,нет,1984,панельный,полностью,3.818
8500000.0,30.2,совмещенный,нет,2.0,5.0,2.7,нет,нет,1966,кирпичный,без мебели,2.714
10200000.0,35.5,совмещенный,нет,5.0,5.0,2.6,нет,нет,1980,панельный,частично,3.502
14144000.0,44.2,совмещенный,нет,3.0,9.0,2.7,нет,нет,2024,кирпичный,частично,4.193
35000000.0,65.2,совмещенный,нет,6.0,10.0,2.8,нет,нет,2022,кирпичный,частично,1.95
22500000.0,68.0,раздельный,балкон,9.0,10.0,2.7,нет,нет,1988,панельный,полностью,2.662
7300000.0,34.7,раздельный,нет,4.0,6.0,2.75,нет,нет,2024,кирпичный,частично,1.743
10000000.0,48.0,совмещенный,нет,2.0,2.0,3.0,нет,нет,1960,монолитный,полностью,0.62
23500000.0,65.3,раздельный,нет,4.0,10.0,2.7,нет,нет,2023,кирпичный,без мебели,0.478
20304000.0,45.12,раздельный,нет,3.0,9.0,3.2,нет,нет,2025,кирпичный,частично,0.753
180800000.0,272.0,раздельный,нет,9.0,10.0,3.4,нет,нет,2020,кирпичный,без мебели,0.507
32116500.0,71.37,раздельный,нет,3.0,9.0,3.2,нет,нет,2025,кирпичный,без мебели,0.753
22002800.0,65.68,раздельный,нет,3.0,9.0,2.75,нет,нет,2023,кирпичный,без мебели,1.294
16016350.0,47.81,раздельный,нет,3.0,10.0,2.75,нет,нет,2023,кирпичный,без мебели,1.294
26860500.0,59.69,раздельный,нет,3.0,9.0,3.2,нет,нет,2025,кирпичный,частично,0.753
25000000.0,78.5,раздельный,нет,9.0,10.0,2.75,нет,нет,2022,кирпичный,без мебели,1.296
39649500.0,88.11,раздельный,нет,3.0,9.0,3.2,нет,нет,2025,кирпичный,частично,0.753
30060000.0,66.8,раздельный,нет,3.0,9.0,3.2,нет,нет,2025,кирпичный,частично,0.753
24223850.0,72.31,раздельный,нет,3.0,9.0,2.8,нет,нет,2023,кирпичный,без мебели,1.294
19607550.0,58.53,раздельный,нет,3.0,10.0,2.8,нет,нет,2023,кирпичный,без мебели,1.294
18297700.0,54.62,раздельный,нет,3.0,9.0,2.8,нет,нет,2023,кирпичный,без мебели,1.294
17306100.0,51.66,раздельный,нет,4.0,9.0,2.8,нет,нет,2023,кирпичный,без мебели,1.294
42669000.0,94.82,раздельный,нет,3.0,9.0,3.2,нет,нет,2025,кирпичный,частично,0.753
21584050.0,64.43,раздельный,нет,3.0,9.0,2.8,нет,нет,2023,кирпичный,без мебели,1.294
31423500.0,69.83,раздельный,нет,3.0,9.0,3.2,нет,нет,2025,кирпичный,частично,0.753
19754950.0,58.97,раздельный,нет,2.0,10.0,2.75,нет,нет,2023,кирпичный,без мебели,1.294
15031450.0,44.87,раздельный,нет,4.0,9.0,2.8,нет,нет,2023,панельный,без мебели,1.294
15246000.0,46.2,раздельный,нет,6.0,9.0,3.0,нет,нет,2024,кирпичный,частично,0.584
33000000.0,83.6,совмещенный,нет,1.0,9.0,2.7,нет,нет,2017,иной,частично,4.033
13900000.0,41.6,совмещенный,нет,3.0,5.0,2.7,нет,нет,2011,кирпичный,без мебели,3.527
20292000.0,53.4,раздельный,нет,3.0,9.0,3.0,нет,нет,2024,кирпичный,без мебели,0.584
32375000.0,92.5,раздельный,нет,3.0,9.0,3.0,нет,нет,2024,кирпичный,частично,0.491
27565200.0,72.54,совмещенный,нет,3.0,9.0,3.0,нет,нет,2025,кирпичный,частично,1.841
14440000.0,38.0,совмещенный,нет,4.0,9.0,3.0,нет,нет,2025,кирпичный,частично,1.096
29505000.0,84.3,совмещенный,нет,6.0,9.0,3.0,нет,нет,2025,кирпичный,частично,0.478
16500000.0,50.0,раздельный,нет,5.0,9.0,3.0,нет,нет,2024,кирпичный,частично,0.829
49500000.0,106.0,2 с/у и более,нет,7.0,9.0,2.8,нет,нет,2019,кирпичный,частично,0.524
13733000.0,44.3,раздельный,лоджия,7.0,9.0,2.7,нет,нет,2024,кирпичный,частично,2.003
19852000.0,70.9,раздельный,нет,7.0,8.0,2.7,нет,нет,2022,кирпичный,частично,0.756
13500000.0,49.6,раздельный,нет,5.0,5.0,2.7,нет,нет,1977,кирпичный,частично,3.445
20522000.0,66.2,раздельный,лоджия,8.0,9.0,2.7,нет,нет,2024,кирпичный,частично,2.003
15000000.0,49.1,раздельный,нет,5.0,5.0,2.6,нет,нет,1976,кирпичный,полностью,2.23
12915000.0,43.05,совмещенный,нет,2.0,9.0,2.7,нет,нет,2025,кирпичный,частично,3.716
27900000.0,76.5,раздельный,нет,9.0,10.0,2.7,нет,нет,2022,кирпичный,полностью,0.483
19017000.0,63.39,совмещенный,нет,3.0,9.0,2.7,нет,нет,2025,кирпичный,частично,3.716
